MSISDN,Selected_Action,ActionType,Propensity,MonthlyValueQAR
97451803258,Device_Upgrade_iPhone,Upsell,0.2273,280
97457965603,Device_Upgrade_iPhone,Upsell,0.2076,280
97456891143,Device_Upgrade_iPhone,Upsell,0.3067,280
97454949905,Device_Upgrade_iPhone,Upsell,0.3438,280
97454897136,Device_Upgrade_iPhone,Upsell,0.4325,280
97458727380,Device_Upgrade_iPhone,Upsell,0.3132,280
97451773510,Device_Upgrade_iPhone,Upsell,0.2322,280
97457276311,Device_Upgrade_iPhone,Upsell,0.3649,280
97452813225,Device_Upgrade_iPhone,Upsell,0.1738,280
97451847596,Device_Upgrade_iPhone,Upsell,0.3086,280
97455738310,Loyalty_Points_2x,Retention,0.1959,0
97459780600,Device_Upgrade_iPhone,Upsell,0.3531,280
97457621770,Device_Upgrade_iPhone,Upsell,0.1718,280
97457850256,Device_Upgrade_iPhone,Upsell,0.3458,280
97457457294,Device_Upgrade_iPhone,Upsell,0.2215,280
97458074577,Device_Upgrade_iPhone,Upsell,0.0939,280
97455619038,10GB_Aggressive_HVC,Retention,0.3276,120
97452153022,Device_Upgrade_iPhone,Upsell,0.3659,280
97458557733,Device_Upgrade_iPhone,Upsell,0.2949,280
97455053472,Device_Upgrade_iPhone,Upsell,0.4798,280
97455503166,Device_Upgrade_iPhone,Upsell,0.2708,280
97454337181,Device_Upgrade_iPhone,Upsell,0.2874,280
97452642946,Device_Upgrade_iPhone,Upsell,0.1929,280
97459340883,1GB_plus_100mins,NBO,0.1397,40
97458034106,Roaming_Daily_Pass,CrossSell,0.1364,60
97456794785,Device_Upgrade_iPhone,Upsell,0.4598,280
97454621728,Device_Upgrade_iPhone,Upsell,0.329,280
97458404853,Device_Upgrade_iPhone,Upsell,0.2079,280
97455908861,Device_Upgrade_iPhone,Upsell,0.2022,280
97454990727,Device_Upgrade_iPhone,Upsell,0.314,280
97455054135,Device_Upgrade_iPhone,Upsell,0.287,280
97453045148,Device_Upgrade_iPhone,Upsell,0.3181,280
97451829223,Device_Upgrade_iPhone,Upsell,0.3913,280
97455991262,Device_Upgrade_iPhone,Upsell,0.2237,280
97458991007,Loyalty_Points_2x,Retention,0.1606,0
97451574355,1GB_plus_100mins,NBO,0.1473,40
97458724620,Device_Upgrade_iPhone,Upsell,0.1856,280
97458448679,Loyalty_Points_2x,Retention,0.1687,0
97453490836,Device_Upgrade_iPhone,Upsell,0.2235,280
97456684978,Loyalty_Points_2x,Retention,0.1724,0
97452487061,Device_Upgrade_iPhone,Upsell,0.2718,280
97457822788,Device_Upgrade_iPhone,Upsell,0.1419,280
97457304705,Device_Upgrade_iPhone,Upsell,0.2686,280
97454190733,Device_Upgrade_iPhone,Upsell,0.2572,280
97451611279,Device_Upgrade_iPhone,Upsell,0.2316,280
97459736281,200mins_Upsell,Upsell,0.1801,35
97455011186,200mins_Upsell,Upsell,0.3049,35
97459038089,Device_Upgrade_iPhone,Upsell,0.2183,280
97457101270,Device_Upgrade_iPhone,Upsell,0.3208,280
97458005450,Device_Upgrade_iPhone,Upsell,0.203,280
97457839094,Loyalty_Points_2x,Retention,0.1476,0
97452751748,Retention_Save_25pct,Retention,0.2851,90
97454275153,Device_Upgrade_iPhone,Upsell,0.1682,280
97455200488,Device_Upgrade_iPhone,Upsell,0.2159,280
97455480123,Retention_Save_25pct,Retention,0.301,90
97451394233,Loyalty_Points_2x,Retention,0.1476,0
97455919124,Device_Upgrade_iPhone,Upsell,0.2569,280
97452388605,Device_Upgrade_iPhone,Upsell,0.2711,280
97457690382,1GB_plus_100mins,NBO,0.1519,40
97457147439,Device_Upgrade_iPhone,Upsell,0.3693,280
97459302749,Device_Upgrade_iPhone,Upsell,0.3383,280
97457702858,Device_Upgrade_iPhone,Upsell,0.2419,280
97454299783,Device_Upgrade_iPhone,Upsell,0.2146,280
97459707586,Device_Upgrade_iPhone,Upsell,0.5156,280
97454697652,Loyalty_Points_2x,Retention,0.1624,0
97453932427,Device_Upgrade_iPhone,Upsell,0.3975,280
97459149820,Device_Upgrade_iPhone,Upsell,0.2447,280
97454334136,1GB_plus_100mins,NBO,0.156,40
97451687088,Device_Upgrade_iPhone,Upsell,0.1797,280
97455226001,Loyalty_Points_2x,Retention,0.1175,0
97458161118,Device_Upgrade_iPhone,Upsell,0.3858,280
97452705242,1GB_plus_100mins,NBO,0.1395,40
97455166464,Device_Upgrade_iPhone,Upsell,0.2261,280
97452169293,Device_Upgrade_iPhone,Upsell,0.2286,280
97457178303,10GB_Aggressive_HVC,Retention,0.2353,120
97455281343,Retention_Save_25pct,Retention,0.2961,90
97453971766,1GB_plus_100mins,NBO,0.1803,40
97453042183,Device_Upgrade_iPhone,Upsell,0.2018,280
97456080498,Device_Upgrade_iPhone,Upsell,0.3076,280
97457028325,Loyalty_Points_2x,Retention,0.1855,0
97459462753,Device_Upgrade_iPhone,Upsell,0.2088,280
97454934366,Device_Upgrade_iPhone,Upsell,0.4659,280
97452446193,Device_Upgrade_iPhone,Upsell,0.4218,280
97458494102,1GB_plus_100mins,NBO,0.15,40
97456667878,Loyalty_Points_2x,Retention,0.1695,0
97457302385,Loyalty_Points_2x,Retention,0.1727,0
97451875039,Device_Upgrade_iPhone,Upsell,0.3576,280
97453811299,Device_Upgrade_iPhone,Upsell,0.4766,280
97457910594,Device_Upgrade_iPhone,Upsell,0.4044,280
97458490337,Device_Upgrade_iPhone,Upsell,0.2625,280
97454916949,Device_Upgrade_iPhone,Upsell,0.2884,280
97458242878,Device_Upgrade_iPhone,Upsell,0.2718,280
97458575225,Device_Upgrade_iPhone,Upsell,0.1858,280
97454487305,Device_Upgrade_iPhone,Upsell,0.106,280
97459082787,Device_Upgrade_iPhone,Upsell,0.387,280
97453594952,Retention_Save_25pct,Retention,0.2761,90
97453156019,Retention_Save_25pct,Retention,0.2988,90
97457142458,10GB_Aggressive_HVC,Retention,0.2834,120
97456730855,Device_Upgrade_iPhone,Upsell,0.3301,280
97452257772,Device_Upgrade_iPhone,Upsell,0.2673,280
97458494629,Device_Upgrade_iPhone,Upsell,0.376,280
97452799173,Device_Upgrade_iPhone,Upsell,0.2743,280
97458244091,Device_Upgrade_iPhone,Upsell,0.5464,280
97451066260,Loyalty_Points_2x,Retention,0.162,0
97458171582,Device_Upgrade_iPhone,Upsell,0.5254,280
97458082318,10GB_Aggressive_HVC,Retention,0.2366,120
97458023278,Device_Upgrade_iPhone,Upsell,0.282,280
97456983657,10GB_Aggressive_HVC,Retention,0.3583,120
97455244103,Loyalty_Points_2x,Retention,0.1311,0
97457346487,10GB_Aggressive_HVC,Retention,0.2421,120
97453494094,1GB_plus_100mins,NBO,0.1425,40
97458026560,Device_Upgrade_iPhone,Upsell,0.4655,280
97456000822,Device_Upgrade_iPhone,Upsell,0.2277,280
97455130241,Device_Upgrade_iPhone,Upsell,0.3118,280
97455550455,Device_Upgrade_iPhone,Upsell,0.3342,280
97456118670,Device_Upgrade_iPhone,Upsell,0.1614,280
97451335360,Loyalty_Points_2x,Retention,0.1109,0
97452258172,10GB_Aggressive_HVC,Retention,0.2611,120
97453209330,5G_Unlimited_Upgrade,Upsell,0.1613,200
97452030770,Device_Upgrade_iPhone,Upsell,0.538,280
97454956521,Device_Upgrade_iPhone,Upsell,0.2072,280
97457015625,Device_Upgrade_iPhone,Upsell,0.2194,280
97456889859,Device_Upgrade_iPhone,Upsell,0.2214,280
97455239865,Device_Upgrade_iPhone,Upsell,0.1911,280
97458695719,Device_Upgrade_iPhone,Upsell,0.3542,280
97456087124,Device_Upgrade_iPhone,Upsell,0.3858,280
97451712776,10GB_Aggressive_HVC,Retention,0.2857,120
97457884988,Device_Upgrade_iPhone,Upsell,0.2076,280
97456171405,Device_Upgrade_iPhone,Upsell,0.2667,280
97456712464,Device_Upgrade_iPhone,Upsell,0.1876,280
97456088359,Loyalty_Points_2x,Retention,0.177,0
97455982214,1GB_plus_100mins,NBO,0.1612,40
97451815097,Device_Upgrade_iPhone,Upsell,0.1576,280
97456032863,Device_Upgrade_iPhone,Upsell,0.2066,280
97458154212,1GB_plus_100mins,NBO,0.0852,40
97453735550,Device_Upgrade_iPhone,Upsell,0.3385,280
97456425543,Device_Upgrade_iPhone,Upsell,0.2242,280
97451277360,10GB_Aggressive_HVC,Retention,0.3558,120
97454127492,Device_Upgrade_iPhone,Upsell,0.2137,280
97454930456,Device_Upgrade_iPhone,Upsell,0.2331,280
97459844644,Device_Upgrade_iPhone,Upsell,0.279,280
97452931261,Device_Upgrade_iPhone,Upsell,0.4064,280
97453488934,10GB_Aggressive_HVC,Retention,0.3266,120
97454676757,Device_Upgrade_iPhone,Upsell,0.2794,280
97459933989,Device_Upgrade_iPhone,Upsell,0.2109,280
97458680626,Device_Upgrade_iPhone,Upsell,0.3873,280
97451312236,Device_Upgrade_iPhone,Upsell,0.2405,280
97453105455,Device_Upgrade_iPhone,Upsell,0.4493,280
97458395069,10GB_Aggressive_HVC,Retention,0.2409,120
97451524724,Device_Upgrade_iPhone,Upsell,0.3534,280
97458701036,Device_Upgrade_iPhone,Upsell,0.2419,280
97453532454,Device_Upgrade_iPhone,Upsell,0.3374,280
97459258868,Device_Upgrade_iPhone,Upsell,0.3119,280
97453642343,Device_Upgrade_iPhone,Upsell,0.3216,280
97454908850,Device_Upgrade_iPhone,Upsell,0.2799,280
97456957247,10GB_Aggressive_HVC,Retention,0.1789,120
97452136526,Device_Upgrade_iPhone,Upsell,0.1686,280
97456013288,200mins_Upsell,Upsell,0.2525,35
97455545138,1GB_plus_100mins,NBO,0.1432,40
97458055083,Device_Upgrade_iPhone,Upsell,0.2248,280
97459964961,Device_Upgrade_iPhone,Upsell,0.4505,280
97456978821,Device_Upgrade_iPhone,Upsell,0.3633,280
97454682677,Device_Upgrade_iPhone,Upsell,0.3037,280
97454657481,Device_Upgrade_iPhone,Upsell,0.4994,280
97454761628,Device_Upgrade_iPhone,Upsell,0.3927,280
97458326182,Device_Upgrade_iPhone,Upsell,0.299,280
97453890941,Loyalty_Points_2x,Retention,0.1611,0
97452502756,Device_Upgrade_iPhone,Upsell,0.4189,280
97454008622,Device_Upgrade_iPhone,Upsell,0.1791,280
97451204408,10GB_Aggressive_HVC,Retention,0.3552,120
97451955283,Device_Upgrade_iPhone,Upsell,0.2263,280
97451810430,1GB_plus_100mins,NBO,0.1517,40
97457943970,Device_Upgrade_iPhone,Upsell,0.2132,280
97457501233,1GB_plus_100mins,NBO,0.1423,40
97457270936,Retention_Save_25pct,Retention,0.2426,90
97455156894,Device_Upgrade_iPhone,Upsell,0.1852,280
97457453525,Device_Upgrade_iPhone,Upsell,0.4651,280
97452451445,Device_Upgrade_iPhone,Upsell,0.2336,280
97459105594,10GB_Aggressive_HVC,Retention,0.2385,120
97455509402,1GB_plus_100mins,NBO,0.1342,40
97459442461,Device_Upgrade_iPhone,Upsell,0.2375,280
97452370808,Device_Upgrade_iPhone,Upsell,0.2034,280
97455475970,Device_Upgrade_iPhone,Upsell,0.1771,280
97457266882,Device_Upgrade_iPhone,Upsell,0.2089,280
97455460632,Device_Upgrade_iPhone,Upsell,0.3926,280
97455015406,1GB_plus_100mins,NBO,0.0988,40
97452495926,Device_Upgrade_iPhone,Upsell,0.208,280
97454429190,Device_Upgrade_iPhone,Upsell,0.2318,280
97453148896,Device_Upgrade_iPhone,Upsell,0.2382,280
97453713608,Device_Upgrade_iPhone,Upsell,0.1814,280
97457153305,Device_Upgrade_iPhone,Upsell,0.3578,280
97456672542,Device_Upgrade_iPhone,Upsell,0.4024,280
97456464767,Loyalty_Points_2x,Retention,0.1527,0
97454256313,Device_Upgrade_iPhone,Upsell,0.5301,280
97459637232,Device_Upgrade_iPhone,Upsell,0.5447,280
97451788849,1GB_plus_100mins,NBO,0.1466,40
97454083316,Device_Upgrade_iPhone,Upsell,0.5532,280
97454050493,Device_Upgrade_iPhone,Upsell,0.3471,280
97459657078,Device_Upgrade_iPhone,Upsell,0.284,280
97454296371,Roaming_Daily_Pass,CrossSell,0.0947,60
97459177225,Device_Upgrade_iPhone,Upsell,0.3477,280
97455455590,Device_Upgrade_iPhone,Upsell,0.4761,280
97457297363,10GB_Aggressive_HVC,Retention,0.3069,120
97455116756,Device_Upgrade_iPhone,Upsell,0.3109,280
97453392829,Device_Upgrade_iPhone,Upsell,0.3039,280
97457878064,10GB_Aggressive_HVC,Retention,0.2455,120
97459722586,Device_Upgrade_iPhone,Upsell,0.2953,280
97453371723,Device_Upgrade_iPhone,Upsell,0.2517,280
97458008757,Device_Upgrade_iPhone,Upsell,0.3486,280
97453350259,Loyalty_Points_2x,Retention,0.2407,0
97457452010,Device_Upgrade_iPhone,Upsell,0.4116,280
97458101058,Device_Upgrade_iPhone,Upsell,0.2568,280
97455044253,Loyalty_Points_2x,Retention,0.1869,0
97457632275,Device_Upgrade_iPhone,Upsell,0.2396,280
97453450173,10GB_Aggressive_HVC,Retention,0.2703,120
97451713281,Loyalty_Points_2x,Retention,0.1747,0
97451867518,1GB_plus_100mins,NBO,0.1542,40
97455023213,Device_Upgrade_iPhone,Upsell,0.4665,280
97459123420,Device_Upgrade_iPhone,Upsell,0.3935,280
97452148191,Device_Upgrade_iPhone,Upsell,0.2289,280
97455101986,Device_Upgrade_iPhone,Upsell,0.4568,280
97457336287,1GB_plus_100mins,NBO,0.1621,40
97452821270,1GB_plus_100mins,NBO,0.1404,40
97457494546,Device_Upgrade_iPhone,Upsell,0.2657,280
97453753609,Device_Upgrade_iPhone,Upsell,0.2966,280
97458277945,Device_Upgrade_iPhone,Upsell,0.1468,280
97456212975,Device_Upgrade_iPhone,Upsell,0.1934,280
97455922164,Device_Upgrade_iPhone,Upsell,0.1895,280
97452590954,Device_Upgrade_iPhone,Upsell,0.2604,280
97455168852,Device_Upgrade_iPhone,Upsell,0.3677,280
97458709527,Loyalty_Points_2x,Retention,0.1774,0
97451175715,Device_Upgrade_iPhone,Upsell,0.1934,280
97457826675,Device_Upgrade_iPhone,Upsell,0.2823,280
97455434861,Device_Upgrade_iPhone,Upsell,0.2778,280
97457475165,Loyalty_Points_2x,Retention,0.1803,0
97456969681,Device_Upgrade_iPhone,Upsell,0.3059,280
97454888836,10GB_Aggressive_HVC,Retention,0.2786,120
97453778004,Loyalty_Points_2x,Retention,0.1403,0
97456645778,Device_Upgrade_iPhone,Upsell,0.215,280
97452262018,Device_Upgrade_iPhone,Upsell,0.5051,280
97456256881,Loyalty_Points_2x,Retention,0.1513,0
97451852252,Device_Upgrade_iPhone,Upsell,0.209,280
97456848618,Device_Upgrade_iPhone,Upsell,0.2604,280
