MSISDN,ProductID,ActionType,MonthlyValueQAR,Segment,LTV_Band,Lifecycle,AccountType,Language,Tenure_M,Churn_Prob,Days_To_Renewal,Data_Cap_GB,Data_Used_GB,Data_Usage_Pct,Overage_Months,Voice_Min,Intl_Min,Roaming_Days,Usage_Trend,Top_App,Pct_5G,ARPU_QAR,ARPU_Trend,Late_Payments,Outstanding_QAR,Dunning_Flag,Payment_Method,Device_Model,Device_Type,Device_Tier,Network_Capability,Device_Age_M,Upgrade_Eligible,Last_Upgrade_M,Avg_DL_Speed_Mbps,Dropped_Call_Rate,Latency_ms,Coverage_Score,Cell_Congestion,Network_Complaints_90d,Network_Issue_Flag,Channel_Affinity,App_Logins_30d,Consent_Flag,Loyalty_Tier,Last_Campaign_Resp,Recent_Complaint,Sentiment,NPS,Call_Transcript,NBO_Alt_Action,NBO_Reason,Accept_Ind
97451803258,Home_Free_OoredooTV,CrossSell,150,Mass,MED,Maturity,Prepaid,EN,113,0.288,274,20,9.5,47.3,0,188,0,0,Stable,Netflix,0.35,115.7,Up,0,0.0,0,Manual_Card,Other,Smartphone,Budget,4G,24,1,20,35.9,0.044,52,0.47,0.01,0,0,SMS,10,1,None,Ignored,0,Neutral,5,customer wanted to join the loyalty program,Data_AddOn_5GB,Device upgrade eligible,0
97457965603,Home_Free_OoredooTV,CrossSell,150,Business,MED,Growth,Postpaid,EN,100,0.049,309,50,47.5,94.9,0,146,0,3,Stable,Instagram,0.76,186.6,Up,0,0.0,0,Autopay_Card,Galaxy S23,Smartphone,Flagship,5G,3,0,10,128.1,0.06,27,0.81,0.02,0,0,Email,6,0,Silver,None,1,Negative,1,customer reported dropped calls in their area,Retention_Save_25pct,Churn risk detected,0
97456891143,1GB_plus_100mins,NBO,40,Mass,LOW,Growth,Prepaid,AR,50,0.737,31,50,24.9,49.9,1,110,0,0,Rising,Snapchat,0.48,82.1,Down,1,49.6,0,Cash,Other,Smartphone,Budget,4G,37,1,8,36.9,0.057,85,0.48,0.37,0,0,Push,11,1,Silver,Ignored,0,Positive,7,customer wanted to join the loyalty program,10GB_Aggressive_HVC,Churn risk detected,0
97454949905,Home_Free_OoredooTV,CrossSell,150,HVC,MED,Renewal,Postpaid,AR,98,0.146,23,20,16.4,82.0,2,368,10,0,Stable,Netflix,0.99,97.9,Down,0,0.0,0,Autopay_Card,Galaxy A54,Router/MiFi,Mid,4G,37,1,47,42.8,0.064,71,0.7,0.15,0,0,SMS,5,1,Silver,Ignored,1,Neutral,2,customer threatened to switch to a competitor,1GB_plus_100mins,Device upgrade eligible,0
97454897136,Home_Free_OoredooTV,CrossSell,150,Mass,HIGH,AtRisk,Prepaid,EN,18,0.376,33,5,4.8,95.5,3,199,13,0,Rising,TikTok,0.18,107.5,Up,0,0.0,0,Bank_Transfer,Galaxy S23,Smartphone,Flagship,5G,33,1,41,177.5,0.062,37,0.74,0.11,2,1,WhatsApp,9,1,Silver,Ignored,1,Neutral,9,customer threatened to switch to a competitor,Retention_Save_25pct,Churn risk detected,0
97458727380,200mins_Upsell,Upsell,35,Youth,LOW,Maturity,Hybrid,AR,34,0.175,172,10,10.9,109.1,1,502,0,2,Stable,Gaming,0.38,46.1,Up,1,33.2,0,Cash,iPhone 14,IoT,Budget,4G,38,1,36,31.0,0.033,46,0.9,0.07,0,0,Call,5,1,Silver,Rejected,0,Positive,8,customer asked how to add more data,10GB_Aggressive_HVC,Churn risk detected,0
97451773510,Loyalty_Points_2x,Retention,0,HVC,LOW,Maturity,Hybrid,EN,30,0.405,247,50,20.4,40.9,0,291,23,0,Stable,Snapchat,0.04,12.1,Down,0,0.0,0,Manual_Card,iPhone 15,Smartphone,Flagship,5G,34,1,56,105.3,0.064,53,0.45,0.22,0,0,Call,11,1,Gold,None,0,Neutral,8,customer wanted to join the loyalty program,1GB_plus_100mins,Churn risk detected,0
97457276311,200mins_Upsell,Upsell,35,Youth,MED,Renewal,Postpaid,EN,44,0.124,49,100,99.7,99.7,3,59,0,5,Stable,Netflix,0.22,95.2,Down,2,35.1,1,Manual_Card,Galaxy A54,Smartphone,Mid,4G,43,1,51,38.4,0.054,76,0.53,0.2,0,0,WhatsApp,8,0,Gold,Rejected,0,Neutral,4,customer inquired about upgrading their phone,Device_Upgrade_iPhone,Renewal window,0
97452813225,1GB_plus_100mins,NBO,40,Mass,MED,AtRisk,Postpaid,EN,20,0.527,344,50,15.3,30.6,3,148,3,0,Stable,TikTok,0.39,128.3,Flat,0,0.0,0,Bank_Transfer,Galaxy S23,Smartphone,Flagship,5G,33,1,28,172.6,0.123,47,0.86,0.15,0,1,Email,10,1,Silver,None,0,Neutral,5,customer asked about international calling rates,Data_AddOn_5GB,Device upgrade eligible,0
97451847596,5G_Unlimited_Upgrade,Upsell,200,Mass,HIGH,Growth,Postpaid,AR,107,0.095,340,10,8.3,82.8,2,327,0,0,Stable,YouTube,0.58,131.3,Down,0,0.0,0,Bank_Transfer,iPhone 15,Smartphone,Flagship,5G,30,1,26,103.0,0.129,46,0.56,0.27,1,1,Push,6,0,Gold,None,0,Neutral,3,no recent call-center contact,200mins_Upsell,High data usage trend,0
97455738310,Home_Free_OoredooTV,CrossSell,150,Mass,HIGH,Growth,Postpaid,AR,62,0.513,74,10,7.4,74.3,3,182,0,0,Stable,Snapchat,0.68,109.2,Flat,0,0.0,0,Bank_Transfer,iPhone 14,Router/MiFi,Mid,4G,8,0,55,26.1,0.053,82,0.62,0.25,0,0,Call,8,0,Silver,Ignored,0,Neutral,10,customer wanted to join the loyalty program,Retention_Save_25pct,Device upgrade eligible,1
97459780600,Roaming_Daily_Pass,CrossSell,60,Mass,MED,Renewal,Prepaid,EN,23,0.088,36,20,7.9,39.4,1,80,0,0,Rising,Snapchat,0.22,99.8,Flat,0,0.0,0,Autopay_Card,Galaxy A54,IoT,Budget,4G,37,1,22,39.8,0.07,48,0.69,0.06,0,0,Email,9,1,None,None,0,Positive,1,no recent call-center contact,200mins_Upsell,Loyalty reward due,0
97457621770,Data_AddOn_5GB,NBO,50,Youth,HIGH,Growth,Prepaid,EN,20,0.158,276,5,1.8,36.6,0,52,0,0,Rising,Netflix,0.33,38.9,Flat,0,0.0,0,Cash,iPhone 15,Smartphone,Flagship,5G,42,1,47,98.8,0.033,59,0.68,0.4,1,1,SMS,14,0,None,Accepted,0,Neutral,6,customer asked how to add more data,10GB_Aggressive_HVC,Churn risk detected,0
97457850256,10GB_Aggressive_HVC,Retention,120,Youth,LOW,Maturity,Postpaid,AR,37,0.046,321,50,48.3,96.6,2,150,0,0,Stable,Gaming,0.2,124.4,Flat,1,1.5,0,Manual_Card,iPhone 14,Smartphone,Mid,5G,43,1,7,108.6,0.031,47,0.62,0.3,0,0,Call,6,1,None,Accepted,1,Neutral,6,customer complained about slow data speeds at home,Roaming_Daily_Pass,Churn risk detected,0
97457457294,5G_Unlimited_Upgrade,Upsell,200,Mass,MED,Onboarding,Prepaid,EN,46,0.49,230,5,0.9,18.8,0,274,0,0,Rising,WhatsApp,0.19,143.3,Up,0,0.0,0,Cash,Galaxy A54,Router/MiFi,Mid,5G,18,0,7,194.3,0.057,27,0.49,0.06,0,0,Call,9,1,Platinum,Accepted,0,Neutral,5,no recent call-center contact,Device_Upgrade_iPhone,Renewal window,0
97458074577,10GB_Aggressive_HVC,Retention,120,HVC,LOW,Maturity,Prepaid,AR,28,0.175,110,5,2.3,46.4,1,55,0,0,Falling,YouTube,0.86,112.0,Flat,1,7.7,0,Cash,Huawei P60,Smartphone,Flagship,5G,11,0,30,107.4,0.08,63,0.76,0.36,0,0,SMS,13,0,None,Rejected,0,Neutral,8,customer wanted to join the loyalty program,5G_Unlimited_Upgrade,Churn risk detected,0
