MSISDN,ProductID,ActionType,MonthlyValueQAR,Segment,LTV_Band,Lifecycle,AccountType,Language,Tenure_M,Churn_Prob,Days_To_Renewal,Data_Cap_GB,Data_Used_GB,Data_Usage_Pct,Overage_Months,Voice_Min,Intl_Min,Roaming_Days,Usage_Trend,Top_App,Pct_5G,ARPU_QAR,ARPU_Trend,Late_Payments,Outstanding_QAR,Dunning_Flag,Payment_Method,Device_Model,Device_Type,Device_Tier,Network_Capability,Device_Age_M,Upgrade_Eligible,Last_Upgrade_M,Avg_DL_Speed_Mbps,Dropped_Call_Rate,Latency_ms,Coverage_Score,Cell_Congestion,Network_Complaints_90d,Network_Issue_Flag,Channel_Affinity,App_Logins_30d,Consent_Flag,Loyalty_Tier,Last_Campaign_Resp,Recent_Complaint,Sentiment,NPS,Call_Transcript,NBO_Alt_Action,NBO_Reason,Accept_Ind
97451803258,Home_Free_OoredooTV,CrossSell,150.0,Mass,LOW,Onboarding,Hybrid,EN,5,0.191,114,100,70.1,70.1,0,209,0,0,Rising,Instagram,0.15,118.4,Up,0,0.0,0,Manual_Card,Huawei P60,Router/MiFi,Flagship,5G,35,1,25,195.6,0.026,19,0.66,0.09,0,0,SMS,6,0,Silver,Rejected,0,Neutral,2,customer inquired about upgrading their phone,Roaming_Daily_Pass,Churn risk detected,0
97457965603,Data_AddOn_5GB,NBO,50.0,Business,HIGH,Growth,Postpaid,EN,80,0.272,143,20,20.2,101.0,0,190,11,0,Stable,YouTube,0.09,56.5,Flat,2,26.5,1,Bank_Transfer,iPhone 15,Smartphone,Flagship,5G,35,1,16,126.7,0.072,70,0.69,0.36,0,0,Call,13,1,None,Ignored,0,Positive,3,no recent call-center contact,Home_Free_OoredooTV,Loyalty reward due,0
97456891143,Loyalty_Points_2x,Retention,0.0,Youth,MED,AtRisk,Prepaid,AR,7,0.606,161,5,5.0,100.3,3,147,7,0,Rising,Instagram,0.0,63.2,Up,0,0.0,0,Autopay_Card,iPhone 15,Smartphone,Flagship,5G,41,1,38,133.2,0.12,51,0.66,0.21,0,0,Push,6,0,Gold,None,1,Negative,4,customer asked about high bill last month,Home_Free_OoredooTV,Device upgrade eligible,0
97454949905,Device_Upgrade_iPhone,Upsell,280.0,Mass,MED,Maturity,Postpaid,EN,74,0.665,34,20,11.1,55.3,2,112,5,0,Stable,Gaming,0.45,118.8,Flat,0,0.0,0,Bank_Transfer,Pixel 8,Smartphone,Flagship,5G,16,0,23,109.8,0.094,18,0.47,0.03,0,0,SMS,5,1,Silver,Ignored,1,Negative,2,customer reported dropped calls in their area,10GB_Aggressive_HVC,Loyalty reward due,0
97454897136,1GB_plus_100mins,NBO,40.0,HVC,LOW,Onboarding,Prepaid,AR,55,0.287,31,10,7.4,74.3,2,177,0,0,Stable,Instagram,0.11,131.2,Flat,0,0.0,0,Manual_Card,Other,Smartphone,Budget,4G,14,0,1,41.3,0.098,81,0.74,0.32,0,0,Email,4,1,None,Ignored,0,Positive,7,no recent call-center contact,Home_Free_OoredooTV,Loyalty reward due,0
97458727380,1GB_plus_100mins,NBO,40.0,Business,LOW,Renewal,Prepaid,EN,5,0.634,1,100,79.5,79.5,1,173,0,0,Falling,Snapchat,0.95,102.0,Flat,1,12.1,0,Autopay_Card,iPhone 14,Smartphone,Mid,4G,15,0,35,56.4,0.039,59,0.62,0.13,0,0,SMS,10,1,Silver,Ignored,0,Neutral,2,customer asked how to add more data,Home_Free_OoredooTV,Renewal window,0
97451773510,1GB_plus_100mins,NBO,40.0,Business,LOW,Maturity,Postpaid,AR,96,0.462,336,10,10.2,102.4,3,243,2,0,Stable,TikTok,0.37,124.5,Flat,0,0.0,0,Cash,Other,Smartphone,Budget,4G,47,1,24,33.8,0.059,46,0.92,0.1,0,0,Push,9,1,Gold,Accepted,0,Neutral,5,customer asked how to add more data,5G_Unlimited_Upgrade,Churn risk detected,0
97457276311,5G_Unlimited_Upgrade,Upsell,200.0,Mass,MED,AtRisk,Prepaid,AR,19,1.0,294,20,7.8,39.0,2,596,0,0,Falling,Netflix,0.89,61.5,Flat,0,0.0,0,Bank_Transfer,Pixel 8,Smartphone,Flagship,5G,43,1,16,146.0,0.081,57,0.62,0.34,0,0,Email,8,1,Gold,Rejected,0,Negative,9,customer unhappy after roaming charges abroad,200mins_Upsell,Loyalty reward due,0
97452813225,1GB_plus_100mins,NBO,40.0,Mass,MED,Maturity,Postpaid,AR,71,0.5,330,100,100.8,100.8,0,295,0,0,Stable,TikTok,0.08,69.7,Down,0,0.0,0,Autopay_Card,Huawei P60,Smartphone,Flagship,5G,25,1,43,136.1,0.103,70,0.49,0.42,0,0,SMS,7,1,None,None,0,Neutral,7,no recent call-center contact,5G_Unlimited_Upgrade,Device upgrade eligible,0
97451847596,Device_Upgrade_iPhone,Upsell,280.0,Mass,MED,Onboarding,Prepaid,EN,102,0.322,306,50,35.9,71.8,3,70,0,0,Stable,Instagram,0.12,107.0,Flat,1,5.6,0,Autopay_Card,Pixel 8,Smartphone,Flagship,5G,5,0,51,138.9,0.012,26,0.84,0.08,0,0,Call,6,0,Silver,None,0,Neutral,1,customer asked how to add more data,Loyalty_Points_2x,Loyalty reward due,0
