msisdn,action,action_type,propensity,channel,rationale_WHY,message_HOW,guard_status,gen_source
97457423388,Data_AddOn_5GB,NBO,0.1453,Push,"Customer exceeded the data cap in 3 of the last 3 months, is 43 days from renewal.",Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97457550634,5G_Unlimited_Upgrade,Upsell,0.1888,Push,Customer is an active Business customer.,You're using 76% of your data - 5G Unlimited Upgrade gives you more headroom - tap to activate.,APPROVED,offline
97455304572,Data_AddOn_5GB,NBO,0.231,Email,Customer exceeded the data cap in 2 of the last 3 months.,"Dear Customer,

Customer exceeded the data cap in 2 of the last 3 months.

Data AddOn 5GB suits your usage.

Ooredoo",APPROVED,offline
97453234489,Data_AddOn_5GB,NBO,0.3018,SMS,Customer exceeded the data cap in 2 of the last 3 months.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97458204212,5G_Unlimited_Upgrade,Upsell,0.2329,Call,"Customer exceeded the data cap in 2 of the last 3 months, is a heavy data user (81% of cap).","AGENT: Customer exceeded the data cap in 2 of the last 3 months, is a heavy data user (81% of cap). Recommend: You're using 81% of your data - 5G Unlimited Upgrade gives you more headroom.",APPROVED,offline
97455472471,Data_AddOn_5GB,NBO,0.3559,SMS,Customer exceeded the data cap in 1 of the last 3 months.,Hi! Data AddOn 5GB suits your usage. Reply YES. Ooredoo,APPROVED,offline
97455523669,10GB_Aggressive_HVC,Retention,0.3313,SMS,Customer shows elevated churn risk.,"Hi! Based on your recent usage, our 10GB Aggressive HVC keeps you covered. Reply YES. Ooredoo",APPROVED,offline
97458404852,Data_AddOn_5GB,NBO,0.2149,Push,Customer is an active Mass customer.,Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97455981505,Data_AddOn_5GB,NBO,0.1937,Push,Customer is an active Mass customer.,Data AddOn 5GB suits your usage - tap to activate.,APPROVED,offline
97452766891,Data_AddOn_5GB,NBO,0.1145,Email,Customer exceeded the data cap in 3 of the last 3 months.,"Dear Customer,

Customer exceeded the data cap in 3 of the last 3 months.

Data AddOn 5GB suits your usage.

Ooredoo",APPROVED,offline
