MSISDN,Selected_Action,ActionType,Propensity,MonthlyValueQAR,Churn_Prob,Data_Usage_Pct,Overage_Months,Days_To_Renewal,LTV_Band,Usage_Trend,Upgrade_Eligible,Sentiment,Loyalty_Tier,Consent_Flag,Network_Issue_Flag,Device_Type,msisdn,guard_status,p_baseline,p_nbx
97451803258,Device_Upgrade_iPhone,Upsell,0.2273,280,0.288,47.3,0,274,MED,Stable,1,Neutral,None,1,0,Smartphone,97451803258,APPROVED,0.193205,0.23764215000000002
97457965603,Device_Upgrade_iPhone,Upsell,0.2076,280,0.049,94.9,0,309,MED,Stable,0,Negative,Silver,0,0,Smartphone,97457965603,APPROVED,0.17646,0.17646
97456891143,Device_Upgrade_iPhone,Upsell,0.3067,280,0.737,49.9,1,31,LOW,Rising,1,Positive,Silver,1,0,Smartphone,97456891143,APPROVED,0.26069499999999995,0.39364945000000007
97454949905,Device_Upgrade_iPhone,Upsell,0.3438,280,0.146,82.0,2,23,MED,Stable,1,Neutral,Silver,1,0,Router/MiFi,97454949905,APPROVED,0.29223,0.4237335000000001
97454897136,Device_Upgrade_iPhone,Upsell,0.4325,280,0.376,95.5,3,33,HIGH,Rising,1,Neutral,Silver,1,1,Smartphone,97454897136,APPROVED,0.367625,0.5404087500000001
97458727380,Device_Upgrade_iPhone,Upsell,0.3132,280,0.175,109.1,1,172,LOW,Stable,1,Positive,Silver,1,0,IoT,97458727380,APPROVED,0.26621999999999996,0.359397
97451773510,Device_Upgrade_iPhone,Upsell,0.2322,280,0.405,40.9,0,247,LOW,Stable,1,Neutral,Gold,1,0,Smartphone,97451773510,APPROVED,0.19737,0.25065990000000005
97457276311,Device_Upgrade_iPhone,Upsell,0.3649,280,0.124,99.7,3,49,MED,Stable,1,Neutral,Gold,0,0,Smartphone,97457276311,REVIEW_CREDIT,0.31016499999999997,0.31016499999999997
97452813225,Device_Upgrade_iPhone,Upsell,0.1738,280,0.527,30.6,3,344,MED,Stable,1,Neutral,Silver,1,1,Smartphone,97452813225,APPROVED,0.14773,0.19352630000000004
97451847596,Device_Upgrade_iPhone,Upsell,0.3086,280,0.095,82.8,2,340,HIGH,Stable,1,Neutral,Gold,0,1,Smartphone,97451847596,APPROVED,0.26231,0.26231
97455738310,Loyalty_Points_2x,Retention,0.1959,0,0.513,74.3,3,74,HIGH,Stable,0,Neutral,Silver,0,0,Router/MiFi,97455738310,APPROVED,0.166515,0.166515
97459780600,Device_Upgrade_iPhone,Upsell,0.3531,280,0.088,39.4,1,36,MED,Rising,1,Positive,None,1,0,IoT,97459780600,APPROVED,0.30013500000000004,0.4532038500000002
97457621770,Device_Upgrade_iPhone,Upsell,0.1718,280,0.158,36.6,0,276,HIGH,Rising,1,Neutral,None,0,1,Smartphone,97457621770,APPROVED,0.14603,0.14603
97457850256,Device_Upgrade_iPhone,Upsell,0.3458,280,0.046,96.6,2,321,LOW,Stable,1,Neutral,None,1,0,Smartphone,97457850256,APPROVED,0.29392999999999997,0.39680550000000003
97457457294,Device_Upgrade_iPhone,Upsell,0.2215,280,0.49,18.8,0,230,MED,Rising,0,Neutral,Platinum,1,0,Router/MiFi,97457457294,APPROVED,0.188275,0.23534375000000005
97458074577,Device_Upgrade_iPhone,Upsell,0.0939,280,0.175,46.4,1,110,LOW,Falling,0,Neutral,None,0,0,Smartphone,97458074577,APPROVED,0.079815,0.079815
97455619038,10GB_Aggressive_HVC,Retention,0.3276,120,0.418,28.7,1,51,HIGH,Rising,0,Positive,None,1,0,Smartphone,97455619038,APPROVED,0.27846,0.38149020000000006
97452153022,Device_Upgrade_iPhone,Upsell,0.3659,280,0.464,91.3,0,149,LOW,Stable,0,Neutral,Platinum,1,0,Smartphone,97452153022,APPROVED,0.311015,0.4074296500000001
97458557733,Device_Upgrade_iPhone,Upsell,0.2949,280,0.172,86.4,3,119,MED,Falling,0,Positive,Silver,1,0,Smartphone,97458557733,APPROVED,0.25066499999999997,0.31834455
97455053472,Device_Upgrade_iPhone,Upsell,0.4798,280,0.182,94.9,3,289,LOW,Rising,0,Positive,Gold,1,0,Smartphone,97455053472,APPROVED,0.40782999999999997,0.5587271000000001
97455503166,Device_Upgrade_iPhone,Upsell,0.2708,280,0.053,80.5,2,32,MED,Stable,1,Neutral,Silver,1,0,Smartphone,97455503166,APPROVED,0.23017999999999997,0.33376100000000003
97454337181,Device_Upgrade_iPhone,Upsell,0.2874,280,0.453,40.5,3,330,HIGH,Stable,1,Neutral,Silver,1,0,Smartphone,97454337181,REVIEW_CREDIT,0.24428999999999998,0.31757700000000005
97452642946,Device_Upgrade_iPhone,Upsell,0.1929,280,0.111,36.4,0,241,MED,Rising,1,Negative,Gold,1,0,Smartphone,97452642946,APPROVED,0.16396499999999997,0.22791135
